Date,Camera,White,WhiteFactor,White3,Snow,color,age,sex,den ,area,Whiteness
7/12/16,y-s/y-b,0,1,0,0,white,,,slottet,helags,0
8/21/16,y-s/y-b,0,1,0,0,white,adult,,slottet,helags,0
8/20/15,y-r/gr-s,0,1,0,0,white,cub,male,v skaftet,helags,0
8/22/15,y-r/gr-s,0,1,0,0,white,cub,male,v skaftet,helags,0
6/23/16,y-p/gr-p,0,1,0,15,blue,,,A-6,vindelfjallen,0
6/27/16,y-p/gr-p,0,1,0,5,blue,,,A-6,vindelfjallen,0
7/9/16,y-p/gr-p,0,1,0,0,blue,,,A-6,vindelfjallen,0
8/5/16,y-p/gr-p,0,1,0,0,blue,,,A-6,vindelfjallen,0
7/17/16,y-gr/p-w,0,1,0,0,blue,adult,female,A-16,vindelfjallen,0
7/20/16,y-gr/p-w,0,1,0,0,blue,adult,female,A-16,vindelfjallen,0
7/29/16,y-gr/p-w,0,1,0,0,blue,adult,female,A-16,vindelfjallen,0
6/20/16,vakwhite3,0,1,0,0,white,,,v_ke,helags,0
8/20/15,v-y/b-v,0,1,0,0,blue,cub,female,snuse,helags,0
7/26/16,t14white2,0,1,0,0,white,,,T-14,vindelfjallen,0
8/2/16,t14white2,0,1,0,0,white,,,T-14,vindelfjallen,0
7/16/16,t14white1,0,1,0,0,white,,,T-14,vindelfjallen,0
7/17/16,t14white1,0,1,0,0,white,,,T-14,vindelfjallen,0
7/22/16,t14white1,0,1,0,0,white,,,T-14,vindelfjallen,0
8/17/15,snus3,0,1,0,0,white,cub,,snuse,helags,0
8/13/15,snus2,0,1,0,0,white,adult,male,snuse,helags,0
8/19/15,snus2,0,1,0,0,white,adult,male,snuse,helags,0
8/20/15,snus2,0,1,0,0,white,adult,male,snuse,helags,0
7/7/16,snus2,0,1,0,0,white,adult,male,snuse,helags,0
7/8/16,snus2,0,1,0,0,white,adult,male,snuse,helags,0
7/10/16,snus2,0,1,0,0,white,adult,male,snuse,helags,0
7/15/16,snus2,0,1,0,0,white,adult,male,snuse,helags,0
7/17/16,snus2,0,1,0,0,white,adult,male,snuse,helags,0
9/9/15,snus1,0,1,0,0,blue,adult,female,snuse,helags,0
7/7/16,snus1,0,1,0,0,blue,adult,female,snuse,helags,0
7/8/16,snus1,0,1,0,0,blue,adult,female,snuse,helags,0
7/9/16,snus1,0,1,0,0,blue,adult,female,snuse,helags,0
7/10/16,snus1,0,1,0,0,blue,adult,female,snuse,helags,0
7/11/16,snus1,0,1,0,0,blue,adult,female,snuse,helags,0
7/12/16,snus1,0,1,0,0,blue,adult,female,snuse,helags,0
7/21/16,r5blue1,0,1,0,0,blue,,,R-5,vindelfjallen,0
8/19/16,r5blue1,0,1,0,0,blue,adult,,R-5,vindelfjallen,0
7/20/16,r3white2,0,1,0,0,white,,,R-3,vindelfjallen,0
7/9/16,r3white1,0,1,0,0,white,,,R-3,vindelfjallen,0
7/10/16,r3white1,0,1,0,0,white,,,R-3,vindelfjallen,0
7/12/16,r3white1,0,1,0,0,white,,,R-3,vindelfjallen,0
7/14/16,r3white1,0,1,0,0,white,,,R-3,vindelfjallen,0
7/15/16,r3white1,0,1,0,0,white,,,R-3,vindelfjallen,0
7/17/16,r3white1,0,1,0,0,white,,,R-3,vindelfjallen,0
7/22/16,r3white1,0,1,0,0,white,,,R-3,vindelfjallen,0
7/28/16,r3white1,0,1,0,0,white,,,R-3,vindelfjallen,0
8/1/16,r3white1,0,1,0,0,white,,,R-3,vindelfjallen,0
8/4/16,r3white1,0,1,0,0,white,,,R-3,vindelfjallen,0
8/30/16,r3blue1,0,1,0,0,blue,adult,,R-3,vindelfjallen,0
8/21/16,r11blue1,0,1,0,0,blue,adult,,R-11,vindelfjallen,0
8/15/15,r-p/b-gr,0,1,0,0,white,cub,female,slottet,helags,0
8/18/15,r-p/b-gr,0,1,0,0,white,cub,female,slottet,helags,0
8/19/15,r-p/b-gr,0,1,0,0,white,cub,female,slottet,helags,0
8/20/15,r-p/b-gr,0,1,0,0,white,cub,female,slottet,helags,0
7/3/16,r-p/b-gr,0,1,0,0,white,cub,female,slottet,helags,0
8/16/15,r-gr/o-r,0,1,0,0,white,cub,female,slottet,helags,0
6/19/16,p-y/r-y,0,1,0,0,white,adult,male,R-11,vindelfjallen,0
6/20/16,p-y/r-y,0,1,0,5,white,adult,male,R-11,vindelfjallen,0
6/22/16,p-y/r-y,0,1,0,0,white,adult,male,R-11,vindelfjallen,0
6/23/16,p-y/r-y,0,1,0,0,white,adult,male,R-11,vindelfjallen,0
6/24/16,p-y/r-y,0,1,0,0,white,adult,male,R-11,vindelfjallen,0
6/25/16,p-y/r-y,0,1,0,0,white,adult,male,R-11,vindelfjallen,0
6/29/16,p-y/r-y,0,1,0,0,white,adult,male,R-11,vindelfjallen,0
6/30/16,p-y/r-y,0,1,0,0,white,adult,male,R-11,vindelfjallen,0
7/2/16,p-y/r-y,0,1,0,0,white,adult,male,R-11,vindelfjallen,0
7/3/16,p-y/r-y,0,1,0,0,white,adult,male,R-11,vindelfjallen,0
7/5/16,p-y/r-y,0,1,0,0,white,adult,male,R-11,vindelfjallen,0
7/7/16,p-y/r-y,0,1,0,0,white,adult,male,R-11,vindelfjallen,0
7/8/16,p-y/r-y,0,1,0,0,white,adult,male,R-11,vindelfjallen,0
8/20/15,p-r/b-r,0,1,0,0,white,cub,female,v skaftet,helags,0
8/22/15,p-r/b-r,0,1,0,0,white,cub,female,v skaftet,helags,0
8/23/15,p-r/b-r,0,1,0,0,white,cub,female,v skaftet,helags,0
8/30/15,p-r/b-r,0,1,0,0,white,cub,female,v skaftet,helags,0
7/19/16,p-r/b-b,0,1,0,0,blue,cub,female,A-6,vindelfjallen,0
7/22/16,p-r/b-b,0,1,0,0,blue,cub,female,A-6,vindelfjallen,0
7/24/16,p-r/b-b,0,1,0,0,blue,cub,female,A-6,vindelfjallen,0
8/5/16,p-r/b-b,0,1,0,0,blue,adult,female,A-6,vindelfjallen,0
8/19/15,p-p/r-r,0,1,0,0,white,cub,female,snuse,helags,0
8/22/15,p-p/r-b,0,1,0,0,white,cub,female,slottet,helags,0
8/29/15,p-p/r-b,0,1,0,0,white,cub,female,slottet,helags,0
8/30/15,p-p/r-b,0,1,0,0,white,cub,female,slottet,helags,0
8/11/16,p-o/y-gr,0,1,0,0,white,adult,male,R-3,vindelfjallen,0
8/12/16,p-o/y-gr,0,1,0,0,white,adult,male,R-3,vindelfjallen,0
7/18/16,Nv4,0,1,0,0,blue,,,nv skaftet,helags,0
7/24/16,Nv4,0,1,0,0,blue,,,nv skaftet,helags,0
7/30/16,Nv4,0,1,0,0,blue,,,nv skaftet,helags,0
8/2/16,Nv4,0,1,0,0,blue,,,nv skaftet,helags,0
8/4/16,Nv4,0,1,0,0,blue,,,nv skaftet,helags,0
8/4/16,Nv3,0,1,0,0,blue,,,nv skaftet,helags,0
8/5/16,Nv3,0,1,0,0,blue,,,nv skaftet,helags,0
8/12/15,Nv1,0,1,0,0,white,adult,,nv skaftet,helags,0
8/14/15,Nv1,0,1,0,0,white,adult,,nv skaftet,helags,0
8/16/15,Nv1,0,1,0,0,white,adult,,nv skaftet,helags,0
8/17/15,Nv1,0,1,0,0,white,adult,,nv skaftet,helags,0
8/13/15,gr-gr/y-b,0,1,0,0,white,cub,male,snuse,helags,0
8/20/15,gr-gr/y-b,0,1,0,0,white,cub,male,snuse,helags,0
7/30/16,Ek2,0,1,0,0,white,,,ekorrd_rren,helags,0
8/3/16,Ek2,0,1,0,0,white,,,ekorrd_rren,helags,0
8/4/16,Ek2,0,1,0,0,white,,,ekorrd_rren,helags,0
7/17/16,Ek1,0,1,0,0,white,,,ekorrd_rren,helags,0
7/20/16,Ek1,0,1,0,0,white,,,ekorrd_rren,helags,0
7/21/16,Ek1,0,1,0,0,white,,,ekorrd_rren,helags,0
7/24/16,Ek1,0,1,0,0,white,,,ekorrd_rren,helags,0
7/26/16,Ek1,0,1,0,0,white,,,ekorrd_rren,helags,0
7/28/16,Ek1,0,1,0,0,white,,,ekorrd_rren,helags,0
7/30/16,Ek1,0,1,0,0,white,,,ekorrd_rren,helags,0
7/31/16,Ek1,0,1,0,0,white,,,ekorrd_rren,helags,0
8/1/16,Ek1,0,1,0,0,white,,,ekorrd_rren,helags,0
8/2/16,Ek1,0,1,0,0,white,,,ekorrd_rren,helags,0
8/3/16,Ek1,0,1,0,0,white,,,ekorrd_rren,helags,0
8/4/16,Ek1,0,1,0,0,white,,,ekorrd_rren,helags,0
8/10/16,Ek1,0,1,0,0,white,adult,,ekorrd_rren,helags,0
8/16/16,Ek1,0,1,0,0,white,adult,,ekorrd_rren,helags,0
8/22/15,b-y/gr-p,0,1,0,0,blue,cub,female,snuse,helags,0
9/5/15,b-y/gr-p,0,1,0,0,blue,cub,female,snuse,helags,0
8/19/15,b-r/r-gr,0,1,0,0,white,cub,female,snuse,helags,0
8/21/15,b-r/r-gr,0,1,0,0,white,cub,female,snuse,helags,0
8/22/15,b-p/y-s,0,1,0,0,white,cub,male,v skaftet,helags,0
8/26/15,b-p/y-s,0,1,0,0,white,cub,male,v skaftet,helags,0
8/3/16,a6white1,0,1,0,0,white,,,A-6,vindelfjallen,0
8/6/16,a6white1,0,1,0,0,white,,,A-6,vindelfjallen,0
8/3/16,a6blue1,0,1,0,0,blue,,,A-6,vindelfjallen,0
7/25/16,a16blue1,0,1,0,0,blue,,,A-16,vindelfjallen,0
7/28/16,a16blue1,0,1,0,0,blue,,,A-16,vindelfjallen,0
8/1/16,a16blue1,0,1,0,0,blue,,,A-16,vindelfjallen,0
7/5/16,y-s/y-b,5,2,50,0,white,,,slottet,helags,5
8/30/15,y-r/gr-s,5,2,50,0,white,cub,male,v skaftet,helags,5
8/31/15,y-r/gr-s,5,2,50,0,white,cub,male,v skaftet,helags,5
9/1/15,y-r/gr-s,5,2,50,0,white,cub,male,v skaftet,helags,5
6/10/16,y-p/gr-p,5,2,50,60,blue,,,A-6,vindelfjallen,0
6/15/16,y-p/gr-p,5,2,50,40,blue,,,A-6,vindelfjallen,0
6/16/16,y-p/gr-p,5,2,50,40,blue,,,A-6,vindelfjallen,0
6/17/16,y-p/gr-p,5,2,50,40,blue,,,A-6,vindelfjallen,0
6/28/16,y-gr/y-b,5,2,50,0,white,adult,female,slottet,helags,5
7/1/16,y-gr/y-b,5,2,50,0,white,adult,female,slottet,helags,5
7/9/16,y-gr/y-b,5,2,50,0,white,adult,female,slottet,helags,5
8/22/16,y-gr/y-b,5,2,50,0,white,adult,female,slottet,helags,5
9/2/16,y-gr/y-b,5,2,50,0,white,adult,female,slottet,helags,5
9/3/16,y-gr/y-b,5,2,50,0,white,adult,female,slottet,helags,5
9/5/16,y-gr/y-b,5,2,50,0,white,adult,female,slottet,helags,5
6/29/16,y-gr/p-w,5,2,50,0,blue,adult,female,A-16,vindelfjallen,0
9/10/16,y-gr/p-w,5,2,50,0,blue,adult,female,A-16,vindelfjallen,0
7/9/16,Vs2,5,2,50,0,blue,,,v skaftet,helags,0
6/23/16,Vs1,5,2,50,0,blue,,,v skaftet,helags,0
6/26/16,Vs1,5,2,50,0,blue,,,v skaftet,helags,0
6/29/16,Vs1,5,2,50,0,blue,,,v skaftet,helags,0
7/9/16,Vs1,5,2,50,0,blue,,,v skaftet,helags,0
7/10/16,Vs1,5,2,50,0,blue,,,v skaftet,helags,0
6/16/16,vakwhite3,5,2,50,0,white,,,v_ke,helags,5
9/4/15,v-y/b-v,5,2,50,0,blue,cub,female,snuse,helags,0
9/9/15,v-y/b-v,5,2,50,0,blue,cub,female,snuse,helags,0
7/22/16,t14white2,5,2,50,0,white,,,T-14,vindelfjallen,5
7/24/16,t14white2,5,2,50,0,white,,,T-14,vindelfjallen,5
9/3/16,t14white2,5,2,50,0,white,adult,,T-14,vindelfjallen,5
9/12/16,t14white2,5,2,50,0,white,adult,,T-14,vindelfjallen,5
9/15/16,t14white2,5,2,50,0,white,adult,,T-14,vindelfjallen,5
6/28/16,t14white1,5,2,50,0,white,,,T-14,vindelfjallen,5
8/18/16,t14white1,5,2,50,0,white,adult,,T-14,vindelfjallen,5
8/23/15,snus3,5,2,50,0,white,cub,,snuse,helags,5
9/9/15,snus3,5,2,50,0,white,cub,,snuse,helags,5
9/11/15,snus3,5,2,50,0,white,cub,,snuse,helags,5
6/28/16,snus2,5,2,50,0,white,adult,male,snuse,helags,5
7/3/16,snus2,5,2,50,0,white,adult,male,snuse,helags,5
7/4/16,snus2,5,2,50,0,white,adult,male,snuse,helags,5
7/9/16,r3white2,5,2,50,0,white,,,R-3,vindelfjallen,5
7/12/16,r3white2,5,2,50,0,white,,,R-3,vindelfjallen,5
7/13/16,r3white2,5,2,50,0,white,,,R-3,vindelfjallen,5
7/14/16,r3white2,5,2,50,0,white,,,R-3,vindelfjallen,5
7/18/16,r3white2,5,2,50,0,white,,,R-3,vindelfjallen,5
8/27/16,r3white2,5,2,50,0,white,adult,,R-3,vindelfjallen,5
9/3/16,r3white2,5,2,50,0,white,adult,,R-3,vindelfjallen,5
7/1/16,r3white1,5,2,50,0,white,,,R-3,vindelfjallen,5
7/6/16,r3white1,5,2,50,0,white,,,R-3,vindelfjallen,5
7/7/16,r3white1,5,2,50,0,white,,,R-3,vindelfjallen,5
8/10/16,r3white1,5,2,50,0,white,adult,,R-3,vindelfjallen,5
8/11/16,r3white1,5,2,50,0,white,adult,,R-3,vindelfjallen,5
8/12/16,r3white1,5,2,50,0,white,adult,,R-3,vindelfjallen,5
8/13/16,r3white1,5,2,50,0,white,adult,,R-3,vindelfjallen,5
8/15/16,r3white1,5,2,50,0,white,adult,,R-3,vindelfjallen,5
